abbreviation,context,expanded_abbreviation,base_abbreviation,tokenized_input,tokenized_target
dno.,"wszystko to, co w Kościele najgorsze, nie zdzierżyłem. Tacy jak on ciągną go na <mask> Jeśli się nie pozbędzie tych arcydrani – zatonie”. Na pytanie, czy oglądał film",niedziela,niedziela,"tensor([[   259,  28960,    288,    261,    964,    414,    259,  95557,   1094,
           1895, 168454,    265,    261,    716,    397,   5732,    286,  80108,
            470,    260,  57010,    276,   1801,    351,    259,  17093,   5103,
           1002,    294,   1042,  55114,    669,   1170,  10252,    947,    716,
           7523,    316,   6324,    259,  10011,  47474,    276,    285,  43652,
            322,  28288,   1145,   1476,    727,    259,  39052,    265,    261,
           5598,    259,  83920,  13410,   1766,      1]])","tensor([[   716, 110930,      1]])"
p.,"Underground Coal Gasification in the UK: Appendix 1. Directional Drilling in Coal., <mask> 40-42. Appendix 2. Groundwater Impact and Environmental Risks, p. 43-44. Appendix",niedziela,niedziela,"tensor([[   259, 148310,   1288,    473,  13651,  18870,    281,    287,   7225,
            267,    259, 192345,   5142,   1025,  94847,    473,    431, 135327,
            281,   1288,    473,    260,    261,   1042,  55114,    669,   1251,
          45454,    260,    259, 192345,   5142,   1219,  71028,  14012,    259,
          52875,    305,    259,  56102,  57854,    263,    261,    421,    260,
           5328,  47254,    260,    259, 192345,   5142,      1]])","tensor([[   716, 110930,      1]])"
w.,Taruskina niemożliwe jest wskrzeszenie brzmienia muzyki symfonicznej XVIII czy nawet XIX <mask> Nie ze względu na brak materiałów czy środków. Cytując Eliota: przeszłość wpływa,sobota,sobota,"tensor([[  9569,    438,  34867,    716,  15577,    265,   1402,    414,    263,
         169536,  78908,  41621, 101793,  69273,    266,  34591,  21142, 151885,
            259,  42199,   5598,    294,   7765,    259,  25990,   1042,  55114,
            669,   4383,   1478,    259,  42873,  15407,   1176,    294,  31610,
          20013,  22575,   5598,  21951,   6832,    260, 152402,  31629,  30623,
           7542,    267, 109341,  41687,    414, 117634,      1]])","tensor([[  259, 41784,   262,     1]])"
g.,Dąbrowa Chełmińska - Krajna Sępólno Krajeńskie 0:1 (0:1) Bramka: Maciej Kaczmarek. <mask> 17 - Mikołaj Kamzelewski (Białe Błota)  Grom Osie - Victoria Koronowo 1:3 (1:3) Bramki:,ojcem,ojciec,"tensor([[   431,    761, 104886,    262,   8159,   2898,    282, 146770,    259,
            264,  47297,    377,    320,   1241, 198899,    505,  47297,    265,
         113364,  78517,  16680,  96644, 118963,    479,    267,   4349,  12476,
           1362,   2268, 154885,    260,   1042,  55114,    669,    911,    259,
            264,  77055, 211282,  21170,   1043, 176662,    274, 212501,    265,
            364,   4319,    422,    271,  23243,    282,   3677,    634,    259,
            264,  20692, 228600,   9394,  93116, 151148,  10232, 118963,    650,
            267,      1]])","tensor([[  259,  1171, 13460,     1]])"
n.,"oczywiście wejście HDMI, 3 porty USB oraz obsługa Bluetooth 2.1 i WiFi 802.11 b/g/<mask> To co wyróżniać ma ten sprzęt wśród innych to obecność Android Ice Cream Sandwich",środa,środa,"tensor([[   259,  62560,  62501,    414, 114798,    265,  34289,    261,    381,
           8812,    276,   4999,    259,   3711,    259,    268,  91920,    262,
          16971,  23613,    259,    266,  21208,  93255,    330,    275,    318,
            275,   2709,  55114,    669,    926,    964,   1628,  45407,   5129,
            496,   3034,    259,    263,  55490,    414,   3376,  17197,    281,
           2765,    288,    259,  23555,   5580,   3930,  27371,  23329,    259,
         131528,      1]])","tensor([[21951,   262,     1]])"
v.,"Nowickiego, tom I.  Również w orzeczeniu z 23 października 1995 r. (Schamutzer <mask> Austria) ETPC wyraził pogląd, że choć fakt, iż organy administracji uprawnione były",wagi,waga,"tensor([[  6928,    266,  87348,    261,   4787,    336,    260,  44747,   5018,
           8190,    414,    259, 111156, 135716,    397,   1073,    555,  30616,
          48403,  10344,    259,    286,    260,    274,  19591,    262,  22311,
           3885,   1042,  55114,    669,  38284,    271,  12777,   8131,  71533,
         204070,    421,  83920,    261,   1810,    970,   1209,   9128,    261,
            259,  27491,  10523,    276,  23186,   8463,    259,    273,  95250,
           2522,    455,   4430,      1]])","tensor([[   259, 105005,      1]])"
p.,"prawdy nt. działań rządu, sejmu i prezydenta. - Pani J. Dobrosz-Oracz, p. Kraśko,<mask> Lewicka, p.Tadla, oboje Lisowie i reszta kłamczuchów dostaną skierowanie na kursy",Tym.,Tym.,"tensor([[ 54884,    276,    259,   1643,    260,  12711,   9161,    259,  24406,
            273,    261,    303,  45818,    259,    266,    259, 111956,    422,
            260,    259,    264,  35107,    664,    260,  75367,   2781,    264,
          13964,    262,   2268,    261,    421,    260,  33483,   3376,    704,
            261,   2709,  55114,    669,    764,  26359,    262,    261,    421,
            260,    490,  95732,    261,    999,   4192,  25116,   7484,    259,
            266,    259,  71159,    262,    408,  18056,  64507, 141140,  16500,
           5103,    259, 138801,   8748,    294,  15619,    276,      1]])","tensor([[   259, 107728,    260,      1]])"
Ks. Prof.,"greckokatolickiego i prawosławnego w trakcie konfliktu polsko-ukraińskiego – wyniki badań <mask> dr hab. Józef Marecki (Uniwersytet Papieski Jana Pawła II, Kraków), Losy duchowieństwa",serii,seria,"tensor([[ 90421,    704, 177435,  52770,    259,    266,  32077, 110688,   5663,
            414,    534,  49402, 161903,  63939,    268,    264,  57765, 197954,
            322,    259, 108150,    810,  70920,   1042,  55114,    669,   5505,
           4019,    260,  13449,  92848,   1545,  94283,    274,    806,  75453,
          75210, 110994,    265,   2764,  35597,  37680,   4005,   2052,    261,
            259,  76881,    506,   2713,    276,  59954,   7484,  50231,      1]])","tensor([[   259, 107669,      1]])"
w.,"mln zł w porównaniu do 80,8 mln zł rok wcześniej. Rentowność brutto sprzedaży w I <mask> 2016 r. wzrosła do 11,6 proc. z 8,2 proc. rok wcześniej.  Przychody grupy wzrosły",ojciec,ojciec,"tensor([[   259,  43022,   4932,    414, 102325,   9605,    342, 105951,    449,
            259,  43022,   4932,   7276,    414,  28007,    385,    260,  26030,
            268, 125849, 105265,    259,  35876,    276,    414,    336,   1042,
          55114,    669,    654,    259,    286,    260,  18640, 202266,    262,
            342,   6039,    451,  14791,    260,    397, 169589,  14791,    260,
           7276,    414,  28007,    385,    260,  22854,  92573,   4958,    276,
          18640, 202266,    276,      1]])","tensor([[   259,   1171, 153848,      1]])"
s.,"liga mężczyzn: Multi 75 Killers Kraków - Unihoc Team Sanok, hala SP przy ul. Prusa (<mask> 18, n. 10).",lęk.,lęk.,"tensor([[ 30788,    326,  24934,  90280,    267,   8951,   3832, 121065,    263,
            259,  76881,    259,    264,   6988,   1036,    297,   7033,   1716,
            925,    261,  27350,   8640,   2890,    259,    454,    260, 186831,
            262,    274,   2709,  55114,    669,   7018,    259,    272,    260,
            475,    483,      1]])","tensor([[  259, 15407,   314,   260,     1]])"
j.,"j. hiszpańskim (KMB) (druga niedziela miesiąca oprócz lipca i sierpnia), 15.30 w <mask> włoskim (KMB) [La Santa Messa in italiano]  Godziny mszy świętych w dni powszednie:",ojca,ojciec,"tensor([[   259,    385,    260,    382, 124005, 154179,    274,    557,   7793,
            271,    274,  70962,    716, 110930,  51459,    262,    585, 136319,
            360,  13536,    750,    259,    266,  11715,    325,   2069,    506,
            259, 144882,    414,   1042,  55114,    669,  45879,   7724,    274,
            557,   7793,    271,    491,   2470,   5909,  65698,    262,    281,
          34846,    439,    489, 152372,    326,  20092,  86367,   3039,    414,
          11635,  42336,  71775,   1145,    267,      1]])","tensor([[ 259, 1171,  750,    1]])"
w.,"zachód, A1/ A2 węzeł Stryków; a także dróg ekspresowych: S19 Stobierna – Rzeszów, S19 <mask> Rzeszów zachód - w. Świlcza, S6 Obwodnica Nowogardu, S7 Pasłęk – Miłomłyn, S8 Konotopa",s.,s.,"tensor([[ 26029,  30264,    261,    298,  19135,    298,    338,  85924,   1043,
           2898, 161459,   6832,    296,    259,    262,    756,   3598,    331,
         138292, 106400,   4579,    267,    320,   1666,    320, 171485,   6312,
            322,    259, 213506,   1174,    261,    320,   1666,   1042,  55114,
            669,    259, 213506,   1174,  26029,  30264,    259,    264,    414,
            260,  30546,    280,  58226,    261,    320,    451,   3886, 176222,
            750,   6928,    268,  44287,    273,    261,    320,    487,   4760,
          43871,    314,    322,   1784, 180812, 161670,    261,    320,    449,
         123997,   1332,    262,      1]])","tensor([[259, 263, 260,   1]])"
h.,"przekroczył też dozwoloną prędkość, która na włoskich autostradach wynosi 130 km/<mask> Buffon jechał znacznie szybciej, gdyż 155 km/h. Fani piłkarza zwrócili też uwagę",były,były,"tensor([[126318,    268,  75312,    400,   1610,    342,  57776,  78522,    259,
          72527,    285,  60413,    261,    259,   1743,    262,    294,  45879,
          32411,    259, 139678,   1483,   1628,  37896,   9281,   1006,    275,
           2709,  55114,    669, 126592,    444,    384, 111613,  46574,   1145,
          56315, 103738,    261,    259,  11391,   1610,  19945,   1006,    275,
            334,    260,   8546,    266,    259,  99961, 118773,    262,    397,
          40824,   2306,    400,   1610,    259,  30309,   1241,      1]])","tensor([[ 455, 4430,    1]])"
b.,"zeznawał w piątek b. szef Centralnego Biura Antykorupcyjnego Mariusz Kamiński, któremu <mask> minister spraw wewnętrznych i administracji i b. prokurator krajowy Janusz Kaczmarek",b.,b.,"tensor([[  1478,  16840,  53181,    414,    259,  86924,   2901,    330,    260,
            259, 153243,   8253,   5663,   2819,   2377,  16726,    276,    704,
           5386, 115484,    352,  84759,  10721,  77886,    261,    259,   1743,
          22790,   1042,  55114,    669,  24241,  14601,    414,  51115,   3039,
            259,    266,  23186,   8463,    259,    266,    330,    260,    731,
         207321,   8020,   4914,   2105,  22267,   1362,   2268, 154885,      1]])","tensor([[330, 260,   1]])"
p.,"niemieckim agentem…” – zastanawia się i słusznie autorka. Ale, już mieszkanka Jewabnego, <mask> Żukowska nie ma żadnych wątpliwości gdy mówi: „Wszyscy kłamią. Bardoń, czytałam",się.,się.,"tensor([[   259, 116380,    282,  11684,    470,  13867,    322, 123911, 129143,
            947,    259,    266,    259,    263, 176921,   1145,   4796,    479,
            260,   7063,    261,   1218,   1610,  34855,   9769,  96167,   1216,
           5663,    261,   1042,  55114,    669,  33064,    273, 133937,    716,
            496,  50478,  89876,    259,  30867,    270,    325,  62844,    259,
          11391,    259,  18365,    267,    565, 200345,   2888,    408, 146944,
            761,    260,   2749,    537,   9161,    261,  67597,  18056,      1]])","tensor([[947, 260,   1]])"
m.,"Obornicką, m. Uniwersyteckim, ul.Drobnera, ul.Probusa, ul.Trzebnicką, ul.Ołbińską, <mask> Trzebnickim, ul.Żmigrodzką, ul.Broniewskiego, ul.Obornicką.  - W dniu 24 października",Igę.,Igę.,"tensor([[   443,   6831,  35120,    761,    261,    326,    260,    581,  75453,
            276,    346, 197900,    261,    259,    454,    260,    403,  43830,
          73827,    261,    259,    454,    260,   8389,   5691,    262,    261,
            259,    454,    260,  24714, 120277,  35120,    761,    261,    259,
            454,    260,    646,   2898,   1873, 218475,    261,   1042,  55114,
            669,   1830, 120277, 190555,    282,    261,    259,    454,    260,
          33269,    711, 224211,   5665,    261,    259,    454,    260, 109143,
            266, 191844,    261,    259,    454,    260,    646,   6831,  35120,
            761,    260,    259,    264,    564,  11635,    273,    840,    555,
          30616,  48403,      1]])","tensor([[  336, 57272,   260,     1]])"
n.,"Mokrzyska (s. 18) Olimpia Kąty - Sokół Borzęcin (n. 17) Naprzód Sobolów - Jadowniczanka (<mask> 18) Orzeł Dębno - Sokół Maszkienice (n. 18)  Klasa okręgowa Tarnów, grupa II: Olimpia",ojciec,ojciec,"tensor([[ 42490,    286,  32220,    274,    263,    260,    812,    271,    259,
         215293,    412,    761,   1421,    259,    264,  46735,  17311,   3417,
          73194,   9495,    274,    272,    260,    911,    271,  32200,    286,
         173229,   1525,   8087,   1174,    259,    264,   1480,    285, 211892,
          14145,    274,   2709,  55114,    669,    812,    271,   3294,   1043,
           2898,    431, 103151,    505,    259,    264,  46735,  17311,   4130,
          39855,  93238,    274,    272,    260,    812,    271,  77013,    262,
          81043, 222012,    262, 101825,   1174,    261,   4958,    262,   2052,
            267,    259, 215293,      1]])","tensor([[   259,   1171, 153848,      1]])"
pór.,"osobne zagadnienie i odmienny klimat. Dziesięć tematów, dziesięć różnych miejsc i <mask> Na przyład: „Pisane z zaścianka”, „Pisane o zmierzchu”, „Pisane z Paryża”, „Pisane",dno.,dno.,"tensor([[ 84782,    265,    259, 138843,  86772,    259,    266,    259, 205883,
            680,  38595,    260, 116206,    522,   1241,   1209,  21334,   1174,
            261,    259, 162290,   1241,   1209,  19952,   2765,   8401,    259,
            266,   1042,  55114,    669,    727,   2890, 103217,    267,    565,
            559,  32422,    265,    397,    466,  24378,  14145,   1206,    565,
            559,  32422,    265,    259,    268,    397,  88430,   8186,   1206,
            565,    559,  32422,    265,    397,   2210,    276,  20389,   1206,
            565,    559,  32422,    265,      1]])","tensor([[331, 505, 260,   1]])"
